# t qw qx qy qz x y z vx vy vz p q r ax ay az
0 0.811978 -0.00880198 0.0114107 0.583511 2.63581 27.5626 13.0238 13.0348 -0.873047 0.0116332 -0.0082899 0.0167745 0.206126 -0.897126 1.15423 -0.00627064 
0.001 0.811917 -0.00880907 0.011416 0.583594 2.64885 27.5617 13.0238 13.0335 -0.873525 0.0116516 -0.00830646 0.016808 0.206537 -0.889426 1.1544 -0.00614291 
0.002 0.811857 -0.00881617 0.0114213 0.583678 2.66188 27.5609 13.0238 13.0321 -0.873997 0.0116699 -0.00832299 0.0168415 0.206948 -0.881722 1.15457 -0.00601491 
0.003 0.811796 -0.00882329 0.0114266 0.583762 2.67491 27.56 13.0239 13.0307 -0.874461 0.0116881 -0.00833949 0.0168749 0.207359 -0.874011 1.15474 -0.00588664 
0.004 0.811736 -0.00883043 0.011432 0.583846 2.68794 27.5591 13.0239 13.0293 -0.874918 0.0117063 -0.00835595 0.0169083 0.207768 -0.866296 1.15491 -0.00575811 
0.005 0.811675 -0.00883757 0.0114373 0.583931 2.70097 27.5582 13.0239 13.028 -0.875368 0.0117243 -0.00837238 0.0169416 0.208176 -0.858575 1.15508 -0.00562932 
0.006 0.811614 -0.00884473 0.0114427 0.584015 2.714 27.5574 13.0239 13.0266 -0.875812 0.0117423 -0.00838877 0.0169749 0.208584 -0.850849 1.15525 -0.00550027 
0.007 0.811553 -0.00885191 0.011448 0.5841 2.72702 27.5565 13.0239 13.0252 -0.876248 0.0117602 -0.00840513 0.0170081 0.208991 -0.843118 1.15542 -0.00537095 
0.008 0.811491 -0.0088591 0.0114534 0.584185 2.74005 27.5556 13.0239 13.0239 -0.876677 0.0117781 -0.00842145 0.0170413 0.209397 -0.835381 1.15559 -0.00524137 
0.009 0.81143 -0.0088663 0.0114588 0.58427 2.75307 27.5547 13.0239 13.0225 -0.877098 0.0117958 -0.00843775 0.0170744 0.209802 -0.82764 1.15576 -0.00511153 
0.01 0.811369 -0.00887351 0.0114642 0.584355 2.76609 27.5538 13.0239 13.0212 -0.877513 0.0118135 -0.008454 0.0171074 0.210206 -0.819893 1.15592 -0.00498142 
0.011 0.811307 -0.00888074 0.0114696 0.58444 2.77911 27.553 13.0239 13.0198 -0.877921 0.0118311 -0.00847023 0.0171405 0.21061 -0.812141 1.15609 -0.00485106 
0.012 0.811245 -0.00888799 0.011475 0.584526 2.79213 27.5521 13.024 13.0184 -0.878321 0.0118485 -0.00848642 0.0171734 0.211012 -0.804385 1.15625 -0.00472043 
0.013 0.811183 -0.00889525 0.0114805 0.584612 2.80515 27.5512 13.024 13.0171 -0.878714 0.011866 -0.00850257 0.0172063 0.211414 -0.796623 1.15642 -0.00458955 
